Name,URI,Region GSS code,Period,Sales volume,Reporting period,Average price All property types,Percentage change (yearly) All property types,Percentage change (monthly) All property types,House price index All property types,Sales volume All property types,Average price Detached houses,Percentage change (yearly) Detached houses,Percentage change (monthly) Detached houses,House price index Detached houses,Average price Semi-detached houses,Percentage change (yearly) Semi-detached houses,Percentage change (monthly) Semi-detached houses,House price index Semi-detached houses,Average price Terraced houses,Percentage change (yearly) Terraced houses,Percentage change (monthly) Terraced houses,House price index Terraced houses,Average price Flats and maisonettes,Percentage change (yearly) Flats and maisonettes,Percentage change (monthly) Flats and maisonettes,House price index Flats and maisonettes,Average price First-time buyers,Percentage change (yearly) First-time buyers,Percentage change (monthly) First-time buyers,House price index First-time buyers,Average price Former owner-occupiers,Percentage change (yearly) Former owner-occupiers,Percentage change (monthly) Former owner-occupiers,House price index Former owner-occupiers,Average price Cash purchases,Percentage change (yearly) Cash purchases,Percentage change (monthly) Cash purchases,House price index Cash purchases,Sales volume Cash purchases,Average price Mortgage purchases,Percentage change (yearly) Mortgage purchases,Percentage change (monthly) Mortgage purchases,House price index Mortgage purchases,Sales volume Mortgage purchases,Average price New build,Percentage change (yearly) New build,Percentage change (monthly) New build,House price index New build,Sales volume New build,Average price Existing properties,Percentage change (yearly) Existing properties,Percentage change (monthly) Existing properties,House price index Existing properties,Sales volume Existing properties,Pivotable date
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,23-Nov,132,monthly,538401,-5,-1.7,126.1,132,1117038,-5.1,-1.8,132.7,734058,-4.7,-1.7,133.1,535348,-5.1,-2,130.4,366804,-5,-1.6,117.2,442503,-5,-1.7,123.6,599760,-5,-1.8,128.6,515938,-5.1,-1.7,125,41,544769,-5,-1.8,126.3,87,554699,-0.2,-0.8,125.4,1,544246,-5.1,-1.8,127.6,131,01/11/2023
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,23-Dec,116,monthly,535441,-4.4,-0.5,125.4,116,1106249,-4.8,-1,131.5,730392,-4,-0.5,132.4,531799,-4.7,-0.7,129.5,365344,-4.5,-0.4,116.7,440414,-4.5,-0.5,123,595993,-4.4,-0.6,127.7,512876,-4.5,-0.6,124.3,27,541835,-4.4,-0.5,125.7,85,551095,0,-0.6,124.6,1,541260,-4.5,-0.5,126.9,115,01/12/2023
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,24-Jan,114,monthly,532524,-5.9,-0.5,124.7,114,1099688,-6.4,-0.6,130.7,727590,-5.6,-0.4,131.9,530197,-5.8,-0.3,129.1,362424,-6.2,-0.8,115.8,437696,-6,-0.6,122.2,593181,-5.9,-0.5,127.1,509661,-6.1,-0.6,123.5,24,538996,-5.9,-0.5,125,81,549226,-2.8,-0.3,124.2,2,538300,-6,-0.5,126.2,112,01/01/2024
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,24-Feb,134,monthly,534410,-7.3,0.4,125.2,134,1097386,-8.2,-0.2,130.4,729810,-7,0.3,132.3,533492,-6.7,0.6,130,363902,-7.6,0.4,116.2,439530,-7.3,0.4,122.7,594906,-7.2,0.3,127.5,511446,-7.4,0.4,123.9,23,540828,-7.3,0.3,125.4,100,564518,-2.9,2.8,127.7,1,539832,-7.4,0.3,126.5,133,01/02/2024
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,24-Mar,104,monthly,533326,-8.8,-0.2,124.9,104,1096496,-9.9,-0.1,130.3,727047,-8.8,-0.4,131.8,532508,-7.8,-0.2,129.7,363495,-8.9,-0.1,116.1,438444,-8.8,-0.2,122.4,593975,-8.8,-0.2,127.3,510551,-8.9,-0.2,123.7,26,539639,-8.7,-0.2,125.2,73,573746,-4.9,1.6,129.7,,538548,-8.8,-0.2,126.2,104,01/03/2024
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,24-Apr,121,monthly,535920,-7.1,0.5,125.5,121,1102653,-8.4,0.6,131,730094,-7.1,0.4,132.4,534539,-6.1,0.4,130.2,365594,-7.3,0.6,116.8,440624,-7.1,0.5,123,596800,-7.1,0.5,127.9,513268,-7.2,0.5,124.4,21,542171,-7.1,0.5,125.7,89,584426,-2.7,1.9,132.2,,540937,-7.2,0.4,126.8,121,01/04/2024
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,24-May,119,monthly,542080,-3.2,1.1,127,119,1114874,-4.3,1.1,132.5,737671,-3.2,1,133.7,541684,-2,1.3,131.9,369752,-3.6,1.1,118.1,445907,-3.2,1.2,124.5,603371,-3.2,1.1,129.3,519153,-3.3,1.1,125.8,21,548409,-3.2,1.2,127.2,88,603659,2.7,3.3,136.5,,546816,-3.4,1.1,128.2,119,01/05/2024
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,24-Jun,94,monthly,543115,-0.8,0.2,127.2,94,1109943,-2.5,-0.4,131.9,739229,-0.5,0.2,134,544888,0.5,0.6,132.7,370296,-1.2,0.1,118.3,447537,-0.6,0.4,125,603492,-0.9,0,129.4,520223,-0.9,0.2,126.1,18,549424,-0.8,0.2,127.4,61,623101,10.1,3.2,140.9,,547351,-1.1,0.1,128.3,94,01/06/2024
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,24-Jul,99,monthly,551934,2.8,1.6,129.3,99,1126183,1.1,1.5,133.8,751298,3,1.6,136.2,555388,4.1,1.9,135.3,375802,2.3,1.5,120,455197,3,1.7,127.1,612772,2.5,1.5,131.3,529058,2.8,1.7,128.2,17,558193,2.7,1.6,129.5,58,660323,19.7,6,149.3,,555514,2.3,1.5,130.2,99,01/07/2024
Kingston upon Thames,http://landregistry.data.gov.uk/id/region/kingston-upon-thames,E09000021,24-Aug,,monthly,550846,1.4,-0.2,129,,1115714,-1.5,-0.9,132.6,748319,1.2,-0.4,135.7,556099,2.7,0.1,135.5,375856,1.6,0,120,455348,2,0,127.2,610187,0.7,-0.4,130.8,528199,1.4,-0.2,128,,557020,1.3,-0.2,129.2,,,,,,,,,,,,01/08/2024
